id;entry_no;phoenix_no;card_no;name;english_name;rating;mobile_no;birth_date;email;gender_type;attendance_status_type
96d09332-5485-4d;불쌍한 ;during 쾌활한 우연히;excepting drat b;막대한 yum until;oof 고문;18014.73;whereas;2024-04-21;3d83fp3i43d13fm_3d73fr32@gmail.com;MALE;GIVE_UP
5353bd70-a99e-42;yipp;if cheep;now aside;pfft;whoa;23664.51;bisect er;2024-04-21;3de3fx3d73fy.3d73fr41@gmail.com;MALE;GIVE_UP
04aa5698-6cc9-46;reta;park 분명히 once;side implore 천하게;같은 공군 경험한;lest;22458.95;huzzah why tantalize;2024-04-21;3de3fr3hn3cw3fr3hz_3d83fp3hn@yahoo.co.kr;FEMAIL;ATTENDANCE
21b69c72-a1bf-40;bah ;and 배우;resurface 환상적;bounce 공적;농업 inasmuch;6385;hmph;2024-04-21;3d73fx3i43de3fl3hn.3d23ft3hk@hanmail.net;MALE;GIVE_UP
04fa88a6-1a47-4d;aera;몹시;alongside 배당;부정한;um 나중에;613.6;yahoo;2024-04-21;3d53fp3i43d73g23hn_3d73fn3i483@naver.com;FEMAIL;GIVE_UP
573fb794-a3b9-46;명랑하게;per;nurture 눈이 먼 off;between truss 출현;behind;2426.4;lest;2024-04-21;3d73g33hn3d53ft3hr_3d23ft50@hanmail.net;FEMAIL;ATTENDANCE
9960a01e-9556-4a;별명 a;er;반침 탄약;down while;unless;12581.95;일 gadzooks;2024-04-21;3d53fq3de3fu3hn.3d23fm3i442@yahoo.co.kr;FEMAIL;NON_ATTENDANCE
e2a7a957-32fd-49;furt;나이 absent hmph;맹목적으로 분석자 round;woot;aside;6861.63;창의적인;2024-04-21;3d83fl3i43de3fy3hn_3d73fr3hn98@yahoo.co.kr;MALE;GIVE_UP
307c2968-a157-40;whos;reassert;staff 교육받은 woot;비행선;사랑하는;22430.6;신뢰할 수 있는 because;2024-04-21;3cz3fy3de3ft_3d73ft@gmail.com;MALE;ATTENDANCE
75ab4de8-a979-4a;합금;불충실한 an;frustrate as;absent 활동가;유익한 notwithstanding;3295.8;다채롭게 versus;2024-04-21;3dc3fm3d73g53hn.3cw3fl3hn@hanmail.net;MALE;GIVE_UP
